specobjID,plate,mjd,fiberID,z
11558521021209532416,10266,58462,118,2.299219
7251020906822391808,6440,56370,820,2.361806
11558496831953721344,10266,58462,30,2.252624
4772724431293536256,4239,55458,126,2.396646
8259682917250521088,7336,56656,295,2.450243
8259670822622615552,7336,56656,251,2.226772
4772715635200514048,4239,55458,94,2.184533
7634741392334673920,6781,56274,51,2.143057
7635967347782866944,6782,56273,415,2.943608
4773897060394227712,4240,55455,296,2.293878
7635944263055071232,6782,56572,331,2.298598
8810174585570088960,7825,57030,28,2.231626
8260813490182445056,7337,56662,312,2.287964
4773874245527951360,4240,55455,213,2.611066
8260797272385935360,7337,56662,253,2.296702
4109539695758956544,3650,55244,18,2.078963
9319232527033194496,8277,57073,578,2.173637
4146860418957334528,3683,55245,622,2.745638
5095941269135579136,4526,55559,430,2.529153
4146872512461166592,3683,55178,666,2.372873
5095944017914648576,4526,55559,440,2.003973
5096002292030920704,4526,55559,652,2.541793
9319267711405283328,8277,57073,706,2.286908
9319281180422723584,8277,57073,755,2.714614
4141079735953545216,3678,55208,72,2.503291
7195758627088783360,6391,56329,481,2.83775
4141080285709359104,3678,55208,74,2.363048
9319279531155281920,8277,57073,749,2.052991
8308119703945238528,7379,56713,379,2.803211
491065014300469248,436,51883,628,2.085108
8308108983706867712,7379,56713,340,2.272391
8308112007363844096,7379,56713,351,2.968343
4150162252761421824,3686,55268,346,2.44864
8308218385113831424,7379,56713,738,2.077182
8308080671282452480,7379,56713,237,2.457514
7194764667151210496,6390,56244,961,2.380572
4529580626769369088,4023,55328,310,2.238715
4529556987269371904,4023,55328,224,2.319577
1037018725317896192,921,52380,236,2.081513
4526234263197341696,4020,55332,424,2.960533
4526222718325250048,4020,55332,382,2.316158
4526158396895025152,4020,55332,148,2.847025
4526146852022933504,4020,55332,106,2.591943
4526135856906655744,4020,55332,66,2.321022
4526147951534561280,4020,55332,110,2.475648
4526127610569447424,4020,55332,36,2.390759
4522873056100898816,4017,55329,484,2.826246
4526124312034564096,4020,55332,24,2.799194
4522845568310204416,4017,55329,384,2.164482
4522842819531134976,4017,55329,374,2.140129
4522834023438112768,4017,55329,342,2.605797
4522831824414857216,4017,55329,334,2.287096
4522833473682298880,4017,55329,340,2.409598
4522844468798576640,4017,55329,380,2.342046
4522812582961371136,4017,55329,264,2.274959
4522779597612537856,4017,55329,144,2.256267
4522766953228818432,4017,55329,98,2.361679
1042635581022038016,926,52413,190,2.164698
4543274495260252160,4035,55383,976,2.441687
4539762379404367872,4032,55333,487,2.312769
1032516500415604736,917,52400,241,2.01632
4539707678700886016,4032,55333,288,2.141498
4539684588956702720,4032,55333,204,2.599858
4543021607585863680,4035,55383,56,2.111309
1032487363357468672,917,52400,135,2.08049
1032465098247006208,917,52400,54,2.01416
4539698332852049920,4032,55333,254,2.353513
4539664247991588864,4032,55333,130,2.375206
4536375063738603520,4029,55618,452,2.339919
4536298097924659200,4029,55618,172,2.234567
4536297548168845312,4029,55618,170,2.182526
4536286003296753664,4029,55618,128,2.204754
4536286827930474496,4029,55618,131,2.198445
4536288477197916160,4029,55618,137,2.202664
4532969871311656960,4026,55325,352,2.243665
4532970970823284736,4026,55325,356,2.965115
4532957226927937536,4026,55325,306,2.159728
4532926990358173696,4026,55325,196,2.878129
4532920118410500096,4026,55325,171,2.160634
1035895024954402816,920,52411,244,2.344677
4532908848416315392,4026,55325,130,2.559535
4532888507451201536,4026,55325,56,2.420071
4529619659432155136,4023,55328,452,2.482376
4529610863339132928,4023,55328,420,2.54871
4529596019932157952,4023,55328,366,2.782062
4529587223839135744,4023,55328,334,2.136647
4529586674083321856,4023,55328,332,2.3811
4529572930187974656,4023,55328,282,2.324502
4529542418740303872,4023,55328,171,2.356694
4529533897525188608,4023,55328,140,2.366471
4529508883635656704,4023,55328,49,2.161741
4529510258025191424,4023,55328,54,2.06026
4526241410022922240,4020,55332,450,2.348429
4526228765639202816,4020,55332,404,2.396178
4526230964662458368,4020,55332,412,2.535618
4526174339813627904,4020,55332,206,2.080317
1038150673310443520,922,52426,258,2.229173
4526154548604327936,4020,55332,134,2.445497
4526142453976422400,4020,55332,90,2.657763
4526132558371772416,4020,55332,54,2.29515
4522863710252062720,4017,55329,450,2.315543
2869953023285684224,2549,54523,124,2.624388
2869952473529870336,2549,54523,122,2.657599
2478233853563529216,2201,53904,466,2.115172
4587150511732709376,4074,55679,852,2.450013
4587179648790845440,4074,55679,958,2.31207
4585849239452801024,4073,55663,214,2.305832
4566794422931707904,4056,55357,525,2.175417
4419428253531658240,3925,55338,986,2.373508
4584858574426232832,4072,55362,706,2.185477
4584857474914605056,4072,55362,702,2.294751
4581380819197908992,4069,55365,342,2.27792
2463595517100189696,2188,54595,460,2.661373
4581357179697911808,4069,55365,256,2.442928
4581343435802564608,4069,55365,206,2.476104
8534516573867890688,7580,56955,710,2.372064
8606490611263232000,7644,57327,406,2.303976
8606469170786490368,7644,57327,328,2.545649
8606468895908583424,7644,57327,327,2.797943
8600872106341980160,7639,57297,446,2.32034
8600863860004771840,7639,57297,416,2.133051
8600857262935005184,7639,57297,392,2.138555
8600835547580356608,7639,57297,313,2.127838
8600823727830358016,7639,57297,270,2.393962
8600835272702449664,7639,57297,312,2.81303
8600801737597802496,7639,57297,190,2.023972
8600789917847803904,7639,57297,147,2.363707
8600770126638503936,7639,57297,75,2.301673
8600760231033853952,7639,57297,39,2.239756
8601980139419752448,7640,57311,381,2.612653
8601948803338360832,7640,57311,267,2.664438
8601950177727895552,7640,57311,272,2.550336
8601926538227898368,7640,57311,186,2.170713
8601928187495340032,7640,57311,192,2.395369
8601927912617433088,7640,57311,191,2.235365
8601927637739526144,7640,57311,190,2.176034
8601905922384877568,7640,57311,111,2.583018
8601894927268599808,7640,57311,71,2.574187
8601894377512785920,7640,57311,69,2.644747
8606491710774859776,7644,57327,410,2.043061
8606481815170209792,7644,57327,374,2.620532
8606470270298118144,7644,57327,332,2.433001
8606469445664397312,7644,57327,329,2.663748
8606460099815561216,7644,57327,295,2.350821
8600884475847792640,7639,57297,491,2.62301
8600881452190816256,7639,57297,480,2.421595
8600859187080353792,7639,57297,399,2.882763
8600995526522198016,7639,57297,895,2.52915
8600984256528013312,7639,57297,854,2.93822
8601005147248941056,7639,57297,930,2.097214
8602006252820912128,7640,57311,476,2.077083
8601022189679171584,7639,57297,992,2.695871
8601983712832542720,7640,57311,394,2.31098
8601983437954635776,7640,57311,393,2.310238
8602088166437181440,7640,57311,774,2.979161
8601929561884874752,7640,57311,197,2.029571
8602110706425550848,7640,57311,856,2.323666
8602100535942993920,7640,57311,819,2.323325
4115249459574888448,3655,55240,310,2.302354
10546422205298006016,9367,57758,428,2.032989
4115239289092331520,3655,55240,273,2.245126
10546473332588697600,9367,57758,614,2.339429
4116336876591536128,3656,55241,170,2.965628
4115265952249305088,3655,55240,370,2.705189
4115366007807432704,3655,55240,734,2.288928
10546467285274744832,9367,57758,592,2.261703
4116385255103158272,3656,55241,346,2.487952
4116360516091533312,3656,55241,256,2.25644
4116377008765949952,3656,55241,316,2.543606
11997724234443151360,10656,58163,490,2.402967
4116369312184555520,3656,55241,288,2.26493
11997736329071056896,10656,58163,534,2.06672
4126536496307263488,3665,55247,412,2.44692
4124380902569826304,3663,55176,762,2.04315
4115339619528366080,3655,55240,638,2.72823
4115338794894645248,3655,55240,635,2.413447
4115360510249293824,3655,55240,714,2.2231
4116415491672922112,3656,55241,456,2.179017
4115368756586502144,3655,55240,744,2.684556
4116405046312458240,3656,55241,418,2.231152
4116459472138033152,3656,55241,616,2.492766
4116457273114777600,3656,55241,608,2.890985
8204507231221471232,7287,57042,271,2.22639
8204507506099378176,7287,57042,272,2.052648
9212303370622359552,8182,56993,692,2.192038
6459520969077970944,5737,56381,848,2.401586
9211206059360016384,8181,57073,796,2.086607
7975911335090477056,7084,56624,132,2.327368
9209993027720075264,8180,57345,479,2.338277
7539206203467126784,6696,56398,656,2.416198
