,wave,flux,error,model,cont,narrow,broad,fe,out
183,3129.4517,7.6323957,0.79366183,6.7362534615402225,6.516773319542885,0.0,0.21948014,0.0,0.0
184,3130.173,6.3398385,0.78619593,6.738706339193601,6.5148540325892155,0.0,0.2238523,0.0,0.0
185,3130.8936,7.52337,0.7790582,6.741127057400954,6.512938348976386,0.0,0.22818871,0.0,0.0
186,3131.6155,5.807003,0.74881727,6.743519034053997,6.511019777323917,0.0,0.23249926,0.0,0.0
187,3132.3357,7.0784216,0.78704536,6.74586697994387,6.509106751071571,0.0,0.23676023,0.0,0.0
188,3133.058,7.0377555,0.7977342,6.748178818222035,6.507188894744862,0.0,0.24098992,0.0,0.0
189,3133.7788,6.086299,0.77116084,6.750437277791402,6.505276578900716,0.0,0.2451607,0.0,0.0
190,3134.4998,7.472392,0.7846213,6.752643922635264,6.503364617296405,0.0,0.2492793,0.0,0.0
191,3135.2227,6.3776636,0.7659986,6.754799007603679,6.501448481509242,0.0,0.25335053,0.0,0.0
192,3135.9436,7.054387,0.7779668,6.756886317162649,6.49953852477564,0.0,0.2573478,0.0,0.0
193,3136.6672,7.73462,0.7794171,6.75891461850236,6.497622458945018,0.0,0.26129216,0.0,0.0
194,3137.3884,6.9385066,0.81600434,6.760865002209248,6.495713859135212,0.0,0.26515114,0.0,0.0
195,3138.112,5.7463613,0.7588979,6.762746271279419,6.493799802449311,0.0,0.26894647,0.0,0.0
196,3138.8337,6.1995173,0.7599732,6.764542691267486,6.491891912973877,0.0,0.27265078,0.0,0.0
197,3139.556,7.649237,0.7816875,6.766256416947984,6.489983732612275,0.0,0.27627268,0.0,0.0
198,3140.2803,6.062728,0.7559241,6.767886960820798,6.48807075055087,0.0,0.2798162,0.0,0.0
199,3141.0024,6.017603,0.72269446,6.769420565907839,6.486164571587923,0.0,0.283256,0.0,0.0
200,3141.7268,7.267219,0.785708,6.770862798122987,6.48425359549962,0.0,0.2866092,0.0,0.0
201,3142.4495,7.790949,0.79850465,6.772202266864378,6.482348127774793,0.0,0.28985414,0.0,0.0
202,3143.1743,7.146444,0.8009744,6.773442649852257,6.48043786884449,0.0,0.29300478,0.0,0.0
