Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
357,357,2409.7,7.27473e-17,1.94604e-17
358,358,2410.21,4.807492000000001e-17,1.49764e-17
359,359,2410.72,4.8120800000000004e-17,1.50551e-17
360,360,2411.23,3.579087e-17,1.24234e-17
361,361,2411.75,4.831966e-17,1.53963e-17
362,362,2412.26,4.205899e-17,1.41847e-17
363,363,2412.77,6.11513e-17,1.79931e-17
364,364,2413.28,6.10701e-17,1.79261e-17
365,365,2413.8,4.8271370000000006e-17,1.53132e-17
366,366,2414.31,4.8168960000000004e-17,1.51373e-17
367,367,2414.82,1.7425400000000006e-17,6.136310000000002e-18
368,368,2415.33,6.046e-17,1.74225e-17
369,369,2415.85,6.04163e-17,1.73863e-17
370,370,2416.36,4.197033e-17,1.37187e-17
371,371,2416.87,7.22412e-17,1.91651e-17
372,372,2417.38,4.7930470000000005e-17,1.47275e-17
373,373,2417.9,7.163149999999998e-17,1.88098e-17
374,374,2418.41,3.0052460000000003e-17,1.02385e-17
375,375,2418.92,3.0087640000000005e-17,1.01998e-17
376,376,2419.43,5.3645e-17,1.55824e-17
377,377,2419.95,5.37112e-17,1.56545e-17
378,378,2420.46,3.594635e-17,1.18838e-17
379,379,2420.97,4.190212e-17,1.33586e-17
380,380,2421.48,1.79685e-17,5.98452e-18
381,381,2422.0,3.591449000000001e-17,1.19959e-17
382,382,2422.51,3.5918260000000005e-17,1.1983e-17
383,383,2423.02,3.5929730000000005e-17,1.19433e-17
384,384,2423.53,4.7801630000000004e-17,1.45049e-17
385,385,2424.05,6.53151e-17,1.75944e-17
386,386,2424.56,4.7664800000000005e-17,1.42698e-17
387,387,2425.07,3.60114e-17,1.16592e-17
388,388,2425.58,6.38416e-17,1.939e-17
389,389,2426.1,4.926436e-17,1.65211e-17
390,390,2426.61,6.41182e-17,1.96089e-17
391,391,2427.12,3.446412e-17,1.2859e-17
392,392,2427.63,8.62751e-17,2.33983e-17
393,393,2428.15,2.7136900000000002e-17,1.04168e-17
394,394,2428.66,4.1848020000000004e-17,1.46112e-17
395,395,2429.17,2.00724e-17,7.25252e-18
396,396,2429.68,7.79541e-17,2.16798e-17
397,397,2430.2,3.4578670000000005e-17,1.2559e-17
398,398,2430.71,3.455329e-17,1.26262e-17
399,399,2431.22,5.651860000000001e-17,1.79565e-17
400,400,2431.73,5.1689300000000004e-17,1.96405e-17
401,401,2432.25,8.11243e-17,2.59658e-17
402,402,2432.76,6.1488e-17,2.19371e-17
403,403,2433.27,5.15756e-17,1.9459e-17
404,404,2433.78,7.08212e-17,2.36717e-17
405,405,2434.3,8.96124e-17,2.70449e-17
406,406,2434.81,7.042210000000001e-17,2.33714e-17
407,407,2435.32,9.90314e-17,2.86169e-17
408,408,2435.83,7.76338e-17,2.14991e-17
409,409,2436.34,7.75949e-17,2.14772e-17
410,410,2436.86,1.347345e-16,2.94765e-17
411,411,2437.37,1.69678e-16,3.3327e-17
412,412,2437.88,2.18148e-16,3.79942e-17
413,413,2438.39,1.89192e-16,3.51046e-17
414,414,2438.91,2.38287e-16,3.97059e-17
415,415,2439.42,2.3821000000000003e-16,3.96907e-17
416,416,2439.93,2.1902e-16,4.37628e-17
417,417,2440.44,3.5805100000000004e-16,5.65898e-17
418,418,2440.96,2.55594e-16,4.74113e-17
419,419,2441.47,4.96406e-16,6.69121e-17
420,420,2441.98,5.71796e-16,6.23814e-17
421,421,2442.49,5.71114e-16,6.23015e-17
422,422,2443.01,5.0991e-16,5.88783e-17
423,423,2443.52,4.38924e-16,5.44234e-17
424,424,2444.03,5.47178e-16,6.07585e-17
425,425,2444.54,6.513180000000003e-16,6.6056e-17
426,426,2445.05,7.06763e-16,6.85415e-17
