Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
436,436,2446.08,4.8259310000000015e-16,1.14148e-16
437,437,2446.59,2.289391e-16,8.48216e-17
438,438,2447.1,4.457861e-16,1.11499e-16
439,439,2447.62,2.336751e-16,8.62707e-17
440,440,2448.13,7.117801e-16,1.37372e-16
441,441,2448.64,6.635981e-16,1.33078e-16
442,442,2449.15,3.2657809999999997e-16,9.79213e-17
443,443,2449.67,5.395471e-16,1.20939e-16
444,444,2450.18,3.961971e-16,9.46505e-17
445,445,2450.69,6.073811e-16,1.14094e-16
446,446,2451.2,3.8070209999999997e-16,9.34868e-17
447,447,2451.71,3.0813809999999996e-16,8.62533e-17
448,448,2452.23,3.111481e-16,8.69816e-17
449,449,2452.74,1.562771e-16,6.76159e-17
450,450,2453.25,3.883371e-16,9.51508e-17
451,451,2453.76,2.902521e-16,8.44185e-17
452,452,2454.28,5.585731000000003e-16,1.1074e-16
453,453,2454.79,5.747511e-16,1.11849e-16
454,454,2455.3,5.707271e-16,1.11127e-16
455,455,2455.81,5.126651e-16,1.05943e-16
456,456,2456.32,4.1945509999999996e-16,9.7426e-17
457,457,2456.84,5.971001000000003e-16,1.14042e-16
458,458,2457.35,5.054951e-16,1.06501e-16
459,459,2457.86,4.308281e-16,9.97951e-17
460,460,2458.37,5.097461000000003e-16,1.07319e-16
461,461,2458.89,7.4392610000000025e-16,1.2683e-16
462,462,2459.4,7.382221e-16,1.25917e-16
463,463,2459.91,5.955641e-16,1.1377e-16
464,464,2460.42,5.708801e-16,1.11154e-16
465,465,2460.93,4.932031e-16,1.04137e-16
466,466,2461.45,6.264541e-16,1.15677e-16
467,467,2461.96,6.280821000000003e-16,1.15956e-16
468,468,2462.47,4.948231000000003e-16,1.04448e-16
469,469,2462.98,3.801501e-16,9.33656e-17
470,470,2463.49,4.924531000000001e-16,1.03992e-16
471,471,2464.01,3.768741e-16,9.26516e-17
472,472,2464.52,3.753701e-16,9.23236e-17
473,473,2465.03,5.798181000000003e-16,1.10987e-16
474,474,2465.54,6.320811e-16,1.14967e-16
475,475,2466.06,5.907181e-16,1.11194e-16
476,476,2466.57,6.258461e-16,1.13913e-16
477,477,2467.08,6.8168610000000015e-16,1.1839e-16
478,478,2467.59,5.537421e-16,1.08077e-16
479,479,2468.1,4.4740810000000025e-16,9.90523e-17
480,480,2468.62,6.059331e-16,1.13841e-16
481,481,2469.13,6.512241e-16,1.18202e-16
482,482,2469.64,3.2549809999999996e-16,8.79283e-17
483,483,2470.15,3.220311e-16,8.71125e-17
484,484,2470.66,4.118261e-16,9.58358e-17
485,485,2471.18,3.8787009999999996e-16,9.28755e-17
486,486,2471.69,1.447991e-16,6.38186e-17
487,487,2472.2,4.763441e-16,1.00893e-16
488,488,2472.71,5.540031000000003e-16,1.08123e-16
489,489,2473.22,5.604771e-16,1.09286e-16
490,490,2473.74,4.518661e-16,9.99429e-17
491,491,2474.25,6.957471e-16,1.2067e-16
492,492,2474.76,5.761041e-16,1.1033e-16
493,493,2475.27,3.838211e-16,9.2013e-17
494,494,2475.79,7.252131e-16,1.2078e-16
495,495,2476.3,6.647561e-16,1.15643e-16
496,496,2476.81,5.524761000000003e-16,1.06155e-16
497,497,2477.32,4.436691e-16,9.64036e-17
498,498,2477.83,5.522901e-16,1.06122e-16
499,499,2478.35,3.2158509999999996e-16,8.47058e-17
500,500,2478.86,2.323161e-16,7.47341e-17
501,501,2479.37,4.142641e-16,9.43248e-17
502,502,2479.88,3.767181e-16,9.05e-17
503,503,2480.39,7.349281e-16,1.20834e-16
504,504,2480.91,5.873971000000003e-16,1.0898e-16
505,505,2481.42,7.074711e-16,1.18009e-16
506,506,2481.93,5.994841000000001e-16,1.09458e-16
507,507,2482.44,6.021731e-16,1.09912e-16
508,508,2482.95,5.383011e-16,1.05303e-16
509,509,2483.47,5.649101e-16,1.08352e-16
510,510,2483.98,3.119431e-16,8.47379e-17
511,511,2484.49,7.599481e-16,1.24694e-16
512,512,2485.0,5.742171e-16,1.09996e-16
513,513,2485.51,6.324081e-16,1.15021e-16
514,514,2486.03,6.510681e-16,1.16525e-16
515,515,2486.54,6.153461e-16,1.13771e-16
516,516,2487.05,5.408381000000001e-16,1.07502e-16
517,517,2487.56,4.104131e-16,9.55402e-17
518,518,2488.07,5.576221e-16,1.08772e-16
519,519,2488.59,5.319841000000003e-16,1.05886e-16
520,520,2489.1,4.2671909999999997e-16,1.07192e-16
521,521,2489.61,5.177351e-16,1.16448e-16
522,522,2490.12,6.835871000000003e-16,1.32273e-16
523,523,2490.63,6.202191e-16,1.27204e-16
524,524,2491.15,6.116131e-16,1.46771e-16
525,525,2491.66,8.3457010000000015e-16,1.69262e-16
526,526,2492.17,5.826551000000001e-16,1.43929e-16
527,527,2492.68,5.129701e-16,1.35248e-16
528,528,2493.19,3.818091e-16,1.18233e-16
529,529,2493.71,3.743621e-16,1.16186e-16
